Name;second_name;first_uri;Second_uri
SAP ERP;;http://dbpedia.org/resource/SAP_ERP;
SEAL systems;;https://dbpedia.org/page/Enterprise_output_management;
OpenText ECM Suite;Enterprise-Content-Management;https://dbpedia.org/page/OpenText;https://dbpedia.org/page/Enterprise_content_management
Intranet;;https://dbpedia.org/page/Intranet;
Business Intelligence;Power BI;https://dbpedia.org/page/Microsoft_Power_BI;
Microsoft Windows;;https://dbpedia.org/page/Microsoft_Windows;
Microsoft Office;;https://dbpedia.org/page/Microsoft_Office;
Microsoft Client & Rem. Access;;;
Microsoft Project;;https://dbpedia.org/page/Microsoft_Project;
MS Project - IT Project Mgmt.;;https://dbpedia.org/page/Microsoft_Project;
MS Project - Ropeways Plan. LTN;;https://dbpedia.org/page/Microsoft_Project;
MS Project - Ropeways Plan. Poma;;https://dbpedia.org/page/Microsoft_Project;
Microsoft Visual Studio Prof.;Microsoft Visual Studio;https://dbpedia.org/page/Visual_Studio;
SharePoint & Teams;Sharepoint;https://dbpedia.org/page/SharePoint;Microsoft Teams
MoovApps Business process m. BPM;;;
Teamviewer;TeamViewer;https://dbpedia.org/page/TeamViewer;
Adobe Acrobat Standard DC;Adobe Acrobat;https://dbpedia.org/page/Adobe_Acrobat;
Nitro Software;;http://dbpedia.org/resource/Nitro_Pro;
Siemens Building Management System;Building_management_system;https://dbpedia.org/page/Building_management_system;
In-house developed Software Poma;;;
Adobe Photoshop;;http://dbpedia.org/resource/Adobe_Photoshop_Elements;
Redmine Project management software;Redmine;https://dbpedia.org/page/Redmine;
Adobe Illustrator;;http://dbpedia.org/resource/Adobe_Illustrator_Artwork;
Adobe Creative Cloud;;http://dbpedia.org/resource/Adobe_Creative_Cloud;
Archiving ARXivar/IXCE;;;
Proffix;;;
Interview;;;
Pass'IN Digital certificates;Imprimerie_nationale;https://dbpedia.org/page/Imprimerie_nationale;
COGEP GuideTI;Computerized_maintenance_management_system;https://dbpedia.org/page/Computerized_maintenance_management_system;
OTRS for building maintenance;OTRS;https://dbpedia.org/page/OTRS;https://dbpedia.org/page/Issue_tracking_system
Adobe InDesign;;http://dbpedia.org/resource/Adobe_InDesign;
Azure DevOps;;http://dbpedia.org/resource/Azure_DevOps_Server;
AdvoLogix Enterprise Legal Mgmt. (ELM);Enterprise_legal_management;https://dbpedia.org/page/Enterprise_legal_management;
MindManager;;https://dbpedia.org/page/MindManager;
NetSetMan Pro;Network_management_software;https://dbpedia.org/page/Network_management_software;
Microsoft Visio;;http://dbpedia.org/resource/Microsoft_Visio;
OTRS for IT helpdesk;OTRS;https://dbpedia.org/page/OTRS;https://dbpedia.org/page/Help_desk
TechSmith Snagit;Snagit;https://dbpedia.org/page/Snagit;
Odoo ERP;Odoo;https://dbpedia.org/page/Odoo;
Visioaxess Visitor Management;;https://dbpedia.org/page/Visitor_management;
4ward Phonecall Management;Call_management;https://dbpedia.org/page/Call_management;
Wrike Project Management;Wrike;https://dbpedia.org/page/Wrike;
Lasernet Label Management;;;
ACRON data archive;;;
Easescreen;;;
Antidote;;;
TechSmith Camtasia;Camtasia;https://dbpedia.org/page/Camtasia;
Avrios Fleet management software;Fleet_management_software;https://dbpedia.org/page/Fleet_management_software;
